epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
125,4650.69,0.88895,0.78511,1.31813,0.93256,0.88791,0.9391,0.69381,0.92707,0.5951,1.29759,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
126,4687.25,0.88488,0.77868,1.31439,0.92934,0.89487,0.9415,0.69836,0.91958,0.59167,1.29286,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
127,4724.45,0.88273,0.7684,1.31408,0.92988,0.88718,0.9393,0.69422,0.93284,0.60003,1.30537,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
128,4761.12,0.87868,0.76221,1.30423,0.91571,0.90314,0.94229,0.69847,0.93182,0.58958,1.29277,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135,0.0111405,0.0037135
129,4797.95,0.88259,0.76788,1.30953,0.9332,0.88497,0.94317,0.70025,0.92875,0.58922,1.29037,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
130,4834.63,0.88326,0.76096,1.30735,0.92499,0.89223,0.94251,0.69726,0.92371,0.57855,1.28875,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145,0.0108435,0.0036145
131,4871.67,0.87659,0.75892,1.29956,0.91733,0.90402,0.9425,0.70126,0.92268,0.57247,1.28518,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
132,4907.11,0.86314,0.74744,1.2976,0.93866,0.8771,0.94009,0.6968,0.92643,0.57773,1.28261,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155,0.0105465,0.0035155
133,4943.45,0.87903,0.76262,1.30425,0.93361,0.884,0.94167,0.69321,0.92366,0.58148,1.28148,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
134,4981.14,0.87007,0.74907,1.30245,0.93162,0.88996,0.94224,0.69488,0.91623,0.57657,1.27775,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165,0.0102495,0.0034165
